OTU ID,92519,91119,91572,91137,92514,92541,100920,91114,91567,91105,92516,100921,101167,92505,100913,92518,92968,92513,101172,100919,92520,92970,92537,101169,91116,91568,92539,91569,91117,100918,101170,91101,100917,91123,92522,92523,100902,91120,91570,91118,91113,92521,101168,91122,100914,91103,92502,100941,100938,92504,92501,100904,100916,92517,91141,100905,91104,100923,100922,100903,91102,92969,92503,100901,92542,91142,92538,92972,100942,100939,100937,92967,91121,91138,91139,taxonomy
206494,214,93,166,4,70,110,4,13,94,3,15,115,51,1,23,11,7,29,19,6,11,5,2,2,13,1,1,6,2,5,1,1,1,2,1,2,2,9,14,2,6,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
303414,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
591907,0,0,0,0,7,1,10,2,0,1,12,2,0,0,0,2,0,0,0,5,11,11,0,0,1,0,1,1,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,5,0,4,14,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
276531,0,0,0,0,0,0,0,0,0,10,0,0,34,0,0,0,0,0,3,8,0,4,0,0,0,1,0,0,0,0,14,0,35,0,0,0,12,0,0,0,0,0,30,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,8,0,0,19,0,0,0,0,3,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
278650,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,21,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__
311173,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__; s__
268962,6,10,33,5,93,44,2,48,27,1,2,0,15,3,13,0,0,6,1,5,1,1,16,3,14,20,6,19,14,4,6,8,55,20,6,5,12,42,31,20,22,32,4,8,7,2,6,14,2,11,27,20,39,18,66,8,22,0,1,0,2,0,20,22,1,21,5,7,21,13,36,2,15,9,4,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4405128,11,5,18,1,11,5,1,22,9,6,2,9,105,4,1,0,0,51,21,3,0,0,8,0,9,12,11,29,24,1,0,18,12,28,2,1,24,61,20,8,29,30,20,5,39,31,9,41,2,15,44,9,31,40,2,5,13,1,2,42,0,3,0,14,1,0,0,8,22,0,1,15,41,2,5,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__
766768,0,0,0,0,0,0,0,2,0,1,10,74,4,0,1,1,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,1,0,0,0,62,0,5,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,2,1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__
